team,seed,region,record,from_first_four,wins,losses,conference,bart_rank,bart_adj_oe,bart_adj_de,bart_barthag,bart_em,hasla_rank,hasla_off,hasla_def,hasla_em,hasla_mom,hasla_sos,recent_form_raw,warrennolan_elo_rank,warrennolan_elo,warrennolan_net_rank,warrennolan_net_score,deepmetric_rank,deepmetric_elo,deepmetric_net,deepmetric_off,deepmetric_def,deepmetric_em,prg_average_rank,prg_score,bart_em_z,hasla_em_z,deepmetric_net_z,warrennolan_elo_z,prg_score_z,recent_form_z,composite_strength
Kentucky,7,Midwest,21-13,False,21,13,SEC,31,119.9,100.0,0.89,19.900000000000006,26.0,122.454943,98.208731,24.246212,-1.226981,0.734082,0.4,34,1612.68,28,-28,26,1718.0,23.5,121.7,98.2,23.5,25.6,-25.6,0.27445463443422197,0.5026612191172807,0.4544737871376824,0.16809809881816962,0.5857387182980823,-1.3579151246394336,0.21219217875621196
Georgia,8,Midwest,22-10,False,22,10,SEC,37,124.3,104.8,0.8776,19.5,30.0,125.877775,104.280736,21.597038999999995,0.026538,0.65977,0.6,43,1572.01,33,-33,34,1727.0,22.5,124.9,102.4,22.5,32.6,-32.6,0.241364359360592,0.28948770400269613,0.37607648240566216,-0.10863750777962915,0.4884562235632996,-0.530821366904506,0.181690067066902
Saint Louis,9,Midwest,28-5,False,28,5,Atlantic 10,43,119.5,102.2,0.8579,17.299999999999997,39.0,120.637092,101.76379,18.873301999999995,-10.061819,0.498884,0.6,40,1574.54,31,-31,36,1761.0,21.9,122.0,100.1,21.900000000000006,40.2,-40.2,0.05936784645562949,0.07031417681604124,0.32903809956644986,-0.09142233480956713,0.38283522927982117,-0.530821366904506,0.06554967988944978
Santa Clara,10,Midwest,26-8,False,26,8,West Coast,29,125.0,103.7,0.8952,21.299999999999997,31.0,124.329849,103.499147,20.830702000000002,-1.681937,0.614053,0.6,32,1616.29,40,-40,38,1803.0,19.6,123.1,103.5,19.599999999999994,39.8,-39.8,0.39027059719192453,0.22782213816295538,0.1487242986828035,0.19266204127742767,0.3883942289789517,-0.530821366904506,0.1950437425332296
Miami (Ohio),11,Midwest,31-1,True,31,1,Mid-American,86,116.7,107.6,0.7177,9.100000000000009,99.0,116.811422,110.467853,6.343568999999988,-2.873122,0.301914,0.8,38,1608.32,64,-64,81,1829.0,9.8,117.8,108.1,9.700000000000003,86.4,-86.4,-0.6189827925537744,-0.9379277262447274,-0.6195692876909951,0.1384308442136347,-0.2592292359697448,0.2962723908304222,-0.47086573668157206
SMU,11,Midwest,20-13,True,20,13,ACC,42,123.0,105.0,0.8611,18.0,44.0,122.321906,104.595482,17.726423999999994,-3.892742,0.703713,0.2,79,1474.94,37,-37,44,1624.0,19.6,123.4,103.7,19.700000000000003,42.8,-42.8,0.11727582783448136,-0.021972742410292522,0.1487242986828035,-0.7691421877021337,0.3467017312354734,-2.185008882374362,-0.22135417541184982
Akron,12,Midwest,29-5,False,29,5,Mid-American,71,117.2,105.4,0.7726,11.799999999999997,71.0,119.320286,106.899031,12.421255000000002,0.526806,0.36942,1.0,29,1624.24,54,-54,61,1852.0,14.1,120.2,106.0,14.200000000000003,69.0,-69.0,-0.39562343580677617,-0.4488688054484262,-0.28246087734330805,0.24675715001734674,-0.017412749057570513,1.1233661485653499,-0.12016245919348699
Hofstra,13,Midwest,24-10,False,24,10,CAA,91,113.2,104.9,0.7049,8.299999999999997,94.0,114.015501,105.886384,8.129116999999994,2.484286,0.403245,1.0,71,1491.42,88,-88,66,1782.0,9.3,114.4,105.1,9.300000000000011,98.6,-98.6,-0.6851633427010344,-0.7942483426915141,-0.6587679400570052,-0.6570054088299497,-0.42877872679322304,1.1233661485653499,-0.4945405074410649
Wright St.,14,Midwest,23-11,False,23,11,Horizon,130,112.4,109.0,0.5864,3.4000000000000057,139.0,111.943331,109.876422,2.0669089999999954,1.455742,0.383499,1.0,97,1443.29,127,-127,127,1656.0,2.1,111.6,109.5,2.0999999999999943,138.6,-138.6,-1.090519212352995,-1.28206178058921,-1.223228534127551,-0.9845019602327544,-0.9846786967062672,1.1233661485653499,-0.9118515973734462
Tennessee St.,15,Midwest,23-9,False,23,9,Ohio Valley,218,107.8,111.9,0.3944,-4.1000000000000085,173.0,109.478394,110.781081,-1.302687000000006,9.892002,0.242042,1.0,116,1403.17,172,-172,163,1717.0,-1.6,108.9,110.5,-1.5999999999999943,195.8,-195.8,-1.7109618699835494,-1.5532062561806654,-1.5132985616360262,-1.2574951379240167,-1.7796156536819203,1.1233661485653499,-1.309692808112164
