team_1,team_2,team_1_win_prob,team_2_win_prob
Michigan St.,NC State,0.7163582386260269,0.2836417613739732
Michigan St.,Texas,0.7469270520628081,0.25307294793719187
Michigan St.,High Point,0.7766116508537291,0.22338834914627087
Michigan St.,Hawaii,0.8536605783496727,0.14633942165032726
Michigan St.,Kennesaw St.,0.9045814601370232,0.09541853986297684
Michigan St.,Queens (N.C.),0.9209864783333855,0.07901352166661436
Michigan St.,Long Island,0.932416148227578,0.067583851772422
Kansas,St. John's,0.3696374744466225,0.6303625255533775
Kansas,Louisville,0.4524858636890988,0.5475141363109013
Kansas,UCLA,0.4786201700361137,0.5213798299638863
Kansas,Ohio St.,0.46900136208101645,0.5309986379189836
Kansas,TCU,0.5948418110542169,0.40515818894578315
Kansas,UCF,0.7072895934351338,0.29271040656486624
Kansas,South Florida,0.5842634351575675,0.41573656484243243
Kansas,Northern Iowa,0.6803771729119411,0.3196228270880589
Kansas,Cal Baptist,0.7612149314003481,0.23878506859965182
Kansas,North Dakota St.,0.7956006327800496,0.20439936721995036
Kansas,Furman,0.881704533976678,0.1182954660233219
Kansas,Siena,0.8826236043506055,0.11737639564939448
Kansas,Michigan,0.21523100837052975,0.7847689916294703
Kansas,Iowa St.,0.33975135288398595,0.660248647116014
Kansas,Virginia,0.3823745778756576,0.6176254221243425
Kansas,Alabama,0.42754653356808614,0.5724534664319137
Kansas,Texas Tech,0.46601105152582173,0.5339889484741783
Kansas,Tennessee,0.4766765252570201,0.52332347474298
Kansas,Kentucky,0.5518301901503349,0.4481698098496651
Kansas,Georgia,0.5604886868220255,0.4395113131779746
Kansas,Saint Louis,0.5930786375225136,0.4069213624774865
Kansas,Santa Clara,0.5567022507255678,0.4432977492744323
Kansas,Miami (Ohio),0.7297954007189315,0.27020459928106866
Kansas,SMU,0.6696597313251335,0.3303402686748665
Kansas,Akron,0.6434284716920942,0.3565715283079058
Kansas,Hofstra,0.7351304958108953,0.2648695041891047
Kansas,Wright St.,0.8176816156331261,0.1823183843668738
Kansas,Tennessee St.,0.8763419102490941,0.12365808975090575
Kansas,Howard,0.8913214707014651,0.108678529298535
Kansas,UMBC,0.8709679415630303,0.12903205843696974
Kansas,Florida,0.2795762548433687,0.7204237451566314
Kansas,Houston,0.2891703793298694,0.7108296206701307
Kansas,Illinois,0.34362030736832205,0.6563796926316778
Kansas,Nebraska,0.4591134493637826,0.5408865506362174
Kansas,Vanderbilt,0.3940643614507903,0.6059356385492096
Kansas,North Carolina,0.508525231507606,0.491474768492394
Kansas,Saint Mary's,0.46760557199395664,0.5323944280060434
Kansas,Clemson,0.5678179185126309,0.4321820814873692
