team_name,wins,losses,win_pct,srs,sos,points_for,points_against,year
South Carolina Upstate,7.0,23.0,0.233,,,1895.0,2132.0,2008
South Dakota State,8.0,21.0,0.276,,,1904.0,2059.0,2008
nan,,,,,,,,2008
School,,,,,,,,2008
South Florida,12.0,19.0,0.387,5.17,6.57,2132.0,2135.0,2008
Southeast Missouri State,12.0,19.0,0.387,-13.78,-6.99,2374.0,2549.0,2008
Southeastern Louisiana,17.0,13.0,0.567,-5.78,-5.53,2030.0,1872.0,2008
Southern,11.0,19.0,0.367,-16.05,-11.16,1884.0,2005.0,2008
Southern California,21.0,12.0,0.636,13.89,8.59,2277.0,2102.0,2008
Southern Illinois,18.0,15.0,0.545,8.73,5.88,2065.0,1971.0,2008
Southern Methodist,10.0,20.0,0.333,-8.41,0.92,1916.0,2141.0,2008
Southern Mississippi,19.0,14.0,0.576,3.77,1.81,2388.0,2202.0,2008
Southern Utah,11.0,19.0,0.367,-6.35,-2.02,2072.0,2194.0,2008
St. Bonaventure,8.0,22.0,0.267,-5.33,1.08,1992.0,2171.0,2008
St. Francis (NY),7.0,22.0,0.241,-12.64,-6.29,1953.0,2137.0,2008
St. John's (NY),11.0,19.0,0.367,2.94,7.3,1864.0,1995.0,2008
Stanford,28.0,8.0,0.778,16.31,6.95,2553.0,2216.0,2008
Stephen F. Austin,26.0,6.0,0.813,1.42,-6.17,2151.0,1805.0,2008
Stetson,16.0,16.0,0.5,-11.42,-5.67,2090.0,2184.0,2008
Stony Brook,7.0,23.0,0.233,-12.36,-6.5,1837.0,1998.0,2008
Syracuse,21.0,14.0,0.6,12.65,7.96,2765.0,2601.0,2008
TCU,14.0,16.0,0.467,-0.92,-0.37,2037.0,2034.0,2008
Temple,21.0,13.0,0.618,8.16,4.57,2457.0,2335.0,2008
Tennessee,31.0,5.0,0.861,18.41,7.84,2946.0,2519.0,2008
nan,,,,,,,,2008
School,,,,,,,,2008
Tennessee State,15.0,17.0,0.469,-6.95,-5.65,2404.0,2419.0,2008
Tennessee Tech,13.0,19.0,0.406,-7.95,-6.87,2411.0,2390.0,2008
Tennessee-Martin,17.0,16.0,0.515,-8.24,-6.37,2560.0,2551.0,2008
Texas,31.0,7.0,0.816,18.13,8.59,2868.0,2467.0,2008
Texas A&M,25.0,11.0,0.694,16.2,7.46,2548.0,2216.0,2008
Texas A&M-Corpus Christi,9.0,20.0,0.31,-9.21,-2.82,1857.0,2030.0,2008
Texas Southern,7.0,25.0,0.219,-20.91,-9.03,2010.0,2390.0,2008
Texas State,13.0,16.0,0.448,-9.8,-5.35,2423.0,2459.0,2008
Texas Tech,16.0,15.0,0.516,7.35,7.62,2166.0,2147.0,2008
Texas-Rio Grande Valley,18.0,13.0,0.581,-10.51,-6.94,2285.0,2193.0,2008
The Citadel,6.0,24.0,0.2,-16.99,-1.14,1903.0,2228.0,2008
Toledo,11.0,19.0,0.367,-5.58,1.55,1794.0,2008.0,2008
Towson,13.0,18.0,0.419,-7.1,-2.83,2027.0,2133.0,2008
Troy,12.0,19.0,0.387,-7.03,-1.99,2365.0,2496.0,2008
Tulane,17.0,15.0,0.531,0.41,2.15,2102.0,2124.0,2008
Tulsa,25.0,14.0,0.641,7.28,2.97,2746.0,2542.0,2008
UAB,23.0,11.0,0.676,8.35,2.09,2501.0,2288.0,2008
UC Davis,9.0,22.0,0.29,-15.02,-2.68,1962.0,2215.0,2008
UC Irvine,18.0,16.0,0.529,-1.2,-2.41,2311.0,2237.0,2008
UC Riverside,9.0,21.0,0.3,-10.73,-2.02,1803.0,2029.0,2008
nan,,,,,,,,2008
School,,,,,,,,2008
UC Santa Barbara,23.0,9.0,0.719,1.17,-3.16,2232.0,2063.0,2008
UCF,16.0,15.0,0.516,5.61,3.16,2269.0,2139.0,2008
UCLA,35.0,4.0,0.897,21.71,7.71,2867.0,2300.0,2008
UNC Asheville,23.0,10.0,0.697,-2.55,-4.41,2479.0,2318.0,2008
UNC Greensboro,19.0,12.0,0.613,1.97,-1.41,2194.0,2061.0,2008
UNC Wilmington,20.0,13.0,0.606,-1.89,-2.42,2397.0,2356.0,2008
UT Arlington,21.0,12.0,0.636,-2.87,-4.62,2422.0,2274.0,2008
Utah,18.0,15.0,0.545,7.35,3.89,2262.0,2104.0,2008
Utah State,24.0,11.0,0.686,1.71,-2.58,2585.0,2385.0,2008
Utah Valley,15.0,14.0,0.517,,,2062.0,1987.0,2008
UTEP,19.0,14.0,0.576,4.79,1.54,2527.0,2415.0,2008
UTSA,13.0,17.0,0.433,-10.43,-2.95,1903.0,2013.0,2008
Valparaiso,22.0,14.0,0.611,2.35,1.29,2558.0,2444.0,2008
Vanderbilt,26.0,8.0,0.765,10.96,5.54,2721.0,2537.0,2008
Vermont,16.0,15.0,0.516,-4.17,-5.77,2241.0,2173.0,2008
Villanova,22.0,13.0,0.629,11.0,7.69,2547.0,2431.0,2008
Virginia,17.0,16.0,0.515,7.6,5.63,2535.0,2470.0,2008
Virginia Commonwealth,24.0,8.0,0.75,6.57,-2.06,2157.0,1881.0,2008
VMI,14.0,15.0,0.483,-9.48,-7.32,2649.0,2530.0,2008
Virginia Tech,21.0,14.0,0.6,12.0,6.54,2456.0,2265.0,2008
nan,,,,,,,,2008
School,,,,,,,,2008
Wagner,23.0,8.0,0.742,-7.01,-7.62,2217.0,2198.0,2008
Wake Forest,17.0,13.0,0.567,9.29,8.83,2166.0,2081.0,2008
Washington,16.0,17.0,0.485,9.09,8.0,2416.0,2338.0,2008
Washington State,26.0,9.0,0.743,16.35,6.35,2325.0,1975.0,2008
Weber State,16.0,14.0,0.533,-3.92,-3.5,1993.0,1970.0,2008
West Virginia,26.0,11.0,0.703,17.97,7.16,2769.0,2352.0,2008
Western Carolina,10.0,21.0,0.323,-8.16,-1.2,1979.0,2140.0,2008
Western Illinois,12.0,18.0,0.4,-10.45,-1.67,2016.0,2148.0,2008
Western Kentucky,29.0,7.0,0.806,9.34,0.24,2785.0,2403.0,2008
Western Michigan,20.0,12.0,0.625,3.2,-0.51,2231.0,2080.0,2008
Wichita State,11.0,20.0,0.355,1.04,2.85,1939.0,1995.0,2008
