year,round,region,slot,team1,seed1,score1,team2,seed2,score2,winner
2012,R32,South,2,VCU,12,61.0,Indiana,4,63.0,Indiana
2012,R32,South,3,Colorado,11,63.0,Baylor,3,80.0,Baylor
2012,R32,South,4,Xavier,10,70.0,Lehigh,15,58.0,Xavier
2012,S16,South,1,Kentucky,1,102.0,Indiana,4,90.0,Kentucky
2012,S16,South,2,Baylor,3,75.0,Xavier,10,70.0,Baylor
2012,E8,South,1,Kentucky,1,82.0,Baylor,3,70.0,Kentucky
2012,R64,West,1,Michigan State,1,89.0,LIU,16,67.0,Michigan State
2012,R64,West,2,Memphis,8,54.0,Saint Louis,9,61.0,Saint Louis
2012,R64,West,3,New Mexico,5,75.0,Long Beach State,12,68.0,New Mexico
2012,R64,West,4,Louisville,4,69.0,Davidson,13,62.0,Louisville
2012,R64,West,5,Murray State,6,58.0,Colorado State,11,41.0,Murray State
2012,R64,West,6,Marquette,3,88.0,BYU,14,68.0,Marquette
2012,R64,West,7,Florida,7,71.0,Virginia,10,45.0,Florida
2012,R64,West,8,Missouri,2,84.0,Norfolk State,15,86.0,Norfolk State
2012,R32,West,1,Michigan State,1,65.0,Saint Louis,9,61.0,Michigan State
2012,R32,West,2,New Mexico,5,56.0,Louisville,4,59.0,Louisville
2012,R32,West,3,Murray State,6,53.0,Marquette,3,62.0,Marquette
2012,R32,West,4,Florida,7,84.0,Norfolk State,15,50.0,Florida
2012,S16,West,1,Michigan State,1,44.0,Louisville,4,57.0,Louisville
2012,S16,West,2,Marquette,3,58.0,Florida,7,68.0,Florida
2012,E8,West,1,Louisville,4,72.0,Florida,7,68.0,Louisville
2012,F4,,1,Ohio State,2,62.0,Kansas,2,64.0,Kansas
2012,F4,,2,Kentucky,1,69.0,Louisville,4,61.0,Kentucky
2012,NCG,,1,Kansas,2,59.0,Kentucky,1,67.0,Kentucky
2013,R64,East,1,Indiana,1,83.0,James Madison,16,62.0,Indiana
2013,R64,East,2,NC State,8,72.0,Temple,9,76.0,Temple
2013,R64,East,3,UNLV,5,61.0,California,12,64.0,California
2013,R64,East,4,Syracuse,4,81.0,Montana,13,34.0,Syracuse
2013,R64,East,5,Butler,6,68.0,Bucknell,11,56.0,Butler
2013,R64,East,6,Marquette,3,59.0,Davidson,14,58.0,Marquette
2013,R64,East,7,Illinois,7,57.0,Colorado,10,49.0,Illinois
2013,R64,East,8,Miami (FL),2,78.0,Pacific,15,49.0,Miami (FL)
2013,R32,East,1,Indiana,1,58.0,Temple,9,52.0,Indiana
2013,R32,East,2,California,12,60.0,Syracuse,4,66.0,Syracuse
2013,R32,East,3,Butler,6,72.0,Marquette,3,74.0,Marquette
2013,R32,East,4,Illinois,7,59.0,Miami (FL),2,63.0,Miami (FL)
2013,S16,East,1,Indiana,1,50.0,Syracuse,4,61.0,Syracuse
2013,S16,East,2,Marquette,3,71.0,Miami (FL),2,61.0,Marquette
2013,E8,East,1,Syracuse,4,55.0,Marquette,3,39.0,Syracuse
2013,R64,Midwest,1,Louisville,1,79.0,North Carolina A&T,16,48.0,Louisville
2013,R64,Midwest,2,Colorado State,8,84.0,Missouri,9,72.0,Colorado State
2013,R64,Midwest,3,Oklahoma State,5,55.0,Oregon,12,68.0,Oregon
2013,R64,Midwest,4,Saint Louis,4,64.0,New Mexico State,13,44.0,Saint Louis
2013,R64,Midwest,5,Memphis,6,54.0,Saint Mary's,11,52.0,Memphis
2013,R64,Midwest,6,Michigan State,3,65.0,Valparaiso,14,54.0,Michigan State
2013,R64,Midwest,7,Creighton,7,67.0,Cincinnati,10,63.0,Creighton
2013,R64,Midwest,8,Duke,2,73.0,Albany (NY),15,61.0,Duke
2013,R32,Midwest,1,Louisville,1,82.0,Colorado State,8,56.0,Louisville
2013,R32,Midwest,2,Oregon,12,74.0,Saint Louis,4,57.0,Oregon
2013,R32,Midwest,3,Memphis,6,48.0,Michigan State,3,70.0,Michigan State
2013,R32,Midwest,4,Creighton,7,50.0,Duke,2,66.0,Duke
2013,S16,Midwest,1,Louisville,1,77.0,Oregon,12,69.0,Louisville
2013,S16,Midwest,2,Michigan State,3,61.0,Duke,2,71.0,Duke
2013,E8,Midwest,1,Louisville,1,85.0,Duke,2,63.0,Louisville
2013,R64,South,1,Kansas,1,64.0,Western Kentucky,16,57.0,Kansas
2013,R64,South,2,UNC,8,78.0,Villanova,9,71.0,UNC
2013,R64,South,3,VCU,5,88.0,Akron,12,42.0,VCU
2013,R64,South,4,Michigan,4,71.0,South Dakota State,13,56.0,Michigan
2013,R64,South,5,UCLA,6,63.0,Minnesota,11,83.0,Minnesota
2013,R64,South,6,Florida,3,79.0,Northwestern State,14,47.0,Florida
2013,R64,South,7,San Diego State,7,70.0,Oklahoma,10,55.0,San Diego State
2013,R64,South,8,Georgetown,2,68.0,Florida Gulf Coast,15,78.0,Florida Gulf Coast
2013,R32,South,1,Kansas,1,70.0,UNC,8,58.0,Kansas
2013,R32,South,2,VCU,5,53.0,Michigan,4,78.0,Michigan
