team_name,wins,losses,win_pct,srs,sos,points_for,points_against,year
Merrimack,14.0,16.0,0.467,-10.86,-6.82,1843.0,1931.0,2022
Miami (FL),26.0,11.0,0.703,11.22,7.62,2736.0,2603.0,2022
Miami (OH),14.0,18.0,0.438,-6.35,-4.14,2408.0,2351.0,2022
Michigan,19.0,15.0,0.559,14.26,11.02,2470.0,2360.0,2022
Michigan State,23.0,13.0,0.639,13.18,9.96,2601.0,2485.0,2022
Middle Tennessee,26.0,11.0,0.703,4.5,-1.16,2771.0,2486.0,2022
Milwaukee,10.0,22.0,0.313,-13.19,-6.32,2073.0,2264.0,2022
Minnesota,13.0,17.0,0.433,5.93,8.13,2010.0,2076.0,2022
Mississippi,13.0,19.0,0.406,6.72,7.25,2180.0,2197.0,2022
Mississippi State,18.0,16.0,0.529,11.83,7.6,2396.0,2252.0,2022
Mississippi Valley State,2.0,26.0,0.071,-22.15,-6.4,1882.0,2323.0,2022
nan,,,,,,,,2022
School,,,,,,,,2022
Missouri,12.0,21.0,0.364,2.94,9.1,2160.0,2325.0,2022
Missouri State,23.0,11.0,0.676,8.29,1.05,2628.0,2342.0,2022
Monmouth,21.0,13.0,0.618,-0.39,-1.68,2333.0,2289.0,2022
Montana,18.0,14.0,0.563,-6.48,-6.21,2310.0,2141.0,2022
Montana State,27.0,8.0,0.771,-0.26,-5.54,2679.0,2425.0,2022
Morehead State,23.0,11.0,0.676,0.79,-3.43,2379.0,2158.0,2022
Morgan State,13.0,15.0,0.464,-12.62,-8.12,2100.0,2025.0,2022
Mount St. Mary's,14.0,16.0,0.467,-8.2,-7.2,1984.0,1958.0,2022
Murray State,31.0,3.0,0.912,9.87,-3.07,2690.0,2150.0,2022
Navy,21.0,11.0,0.656,-2.94,-6.36,2079.0,1924.0,2022
NC State,11.0,21.0,0.344,3.77,6.37,2336.0,2419.0,2022
Nebraska,10.0,22.0,0.313,3.0,8.25,2345.0,2513.0,2022
Nevada,13.0,18.0,0.419,3.71,6.07,2249.0,2284.0,2022
Nevada-Las Vegas,18.0,14.0,0.563,7.2,4.58,2236.0,2099.0,2022
New Hampshire,15.0,13.0,0.536,-6.32,-7.21,1925.0,1819.0,2022
New Mexico,13.0,19.0,0.406,1.25,4.32,2376.0,2411.0,2022
New Mexico State,27.0,7.0,0.794,7.11,1.24,2464.0,2197.0,2022
New Orleans,18.0,14.0,0.563,-7.88,-7.16,2469.0,2385.0,2022
Niagara,14.0,16.0,0.467,-3.09,-2.98,2022.0,1965.0,2022
Nicholls State,21.0,12.0,0.636,-3.62,-5.9,2590.0,2352.0,2022
nan,,,,,,,,2022
School,,,,,,,,2022
