year,round,team1,team2,winner,seed_diff,srs_diff,sos_diff,win_pct_diff,points_margin_diff,label
2009,R32,UNC,LSU,UNC,-7.0,-23.21,-7.460000000000001,-0.28700000000000003,-450.0,1.0
2009,R32,LSU,UNC,UNC,7.0,23.21,7.460000000000001,0.28700000000000003,450.0,0.0
2009,R32,Western Kentucky,Gonzaga,Gonzaga,8.0,-14.27,-4.779999999999999,-0.08899999999999997,-366.0,0.0
2009,R32,Gonzaga,Western Kentucky,Gonzaga,-8.0,14.27,4.779999999999999,0.08899999999999997,366.0,1.0
2009,R32,Arizona State,Syracuse,Syracuse,3.0,-0.5399999999999991,-1.6600000000000001,-0.02300000000000002,-10.0,0.0
2009,R32,Syracuse,Arizona State,Syracuse,-3.0,0.5399999999999991,1.6600000000000001,0.02300000000000002,10.0,1.0
2009,R32,Michigan,Oklahoma,Oklahoma,8.0,-6.17,2.8600000000000003,-0.23299999999999998,-275.0,0.0
2009,R32,Oklahoma,Michigan,Oklahoma,-8.0,6.17,-2.8600000000000003,0.23299999999999998,275.0,1.0
2009,S16,UNC,Gonzaga,UNC,-3.0,-29.29,-7.74,-0.33999999999999997,-691.0,1.0
2009,S16,Gonzaga,UNC,UNC,3.0,29.29,7.74,0.33999999999999997,691.0,0.0
2009,S16,Syracuse,Oklahoma,Oklahoma,1.0,-0.8300000000000018,2.6000000000000005,-0.09599999999999997,-82.0,0.0
2009,S16,Oklahoma,Syracuse,Oklahoma,-1.0,0.8300000000000018,-2.6000000000000005,0.09599999999999997,82.0,1.0
2009,E8,UNC,Oklahoma,UNC,-1.0,-29.41,-11.07,-0.349,-552.0,1.0
2009,E8,Oklahoma,UNC,UNC,1.0,29.41,11.07,0.349,552.0,0.0
2009,R64,UConn,Chattanooga,UConn,-15.0,28.42,11.7,0.347,536.0,1.0
2009,R64,Chattanooga,UConn,UConn,15.0,-28.42,-11.7,-0.347,-536.0,0.0
2009,R64,BYU,Texas A&M,Texas A&M,-1.0,4.6,-1.9799999999999995,0.052000000000000046,235.0,0.0
2009,R64,Texas A&M,BYU,Texas A&M,1.0,-4.6,1.9799999999999995,-0.052000000000000046,-235.0,1.0
2009,R64,Purdue,Northern Iowa,Purdue,-7.0,10.810000000000002,4.93,0.05399999999999994,211.0,1.0
2009,R64,Northern Iowa,Purdue,Purdue,7.0,-10.810000000000002,-4.93,-0.05399999999999994,-211.0,0.0
2009,R64,Washington,Mississippi State,Washington,-9.0,7.6800000000000015,3.5699999999999994,0.10399999999999998,121.0,1.0
2009,R64,Mississippi State,Washington,Washington,9.0,-7.6800000000000015,-3.5699999999999994,-0.10399999999999998,-121.0,0.0
2009,R64,Marquette,Utah State,Marquette,-5.0,5.73,7.8,-0.14300000000000002,-58.0,1.0
2009,R64,Utah State,Marquette,Marquette,5.0,-5.73,-7.8,0.14300000000000002,58.0,0.0
2009,R64,Missouri,Cornell,Missouri,-11.0,16.849999999999998,10.73,0.1389999999999999,251.0,1.0
2009,R64,Cornell,Missouri,Missouri,11.0,-16.849999999999998,-10.73,-0.1389999999999999,-251.0,0.0
2009,R64,California,Maryland,Maryland,-3.0,2.200000000000001,-1.7800000000000002,0.06700000000000006,108.0,0.0
2009,R64,Maryland,California,Maryland,3.0,-2.200000000000001,1.7800000000000002,-0.06700000000000006,-108.0,1.0
2009,R64,Memphis,Cal State Northridge,Memphis,-13.0,18.270000000000003,4.77,0.344,499.0,1.0
2009,R64,Cal State Northridge,Memphis,Memphis,13.0,-18.270000000000003,-4.77,-0.344,-499.0,0.0
2009,R32,UConn,Texas A&M,UConn,-8.0,11.650000000000002,2.4400000000000004,0.15500000000000003,347.0,1.0
2009,R32,Texas A&M,UConn,UConn,8.0,-11.650000000000002,-2.4400000000000004,-0.15500000000000003,-347.0,0.0
2009,R32,Purdue,Washington,Purdue,1.0,-0.33999999999999986,-1.0199999999999996,-0.013000000000000012,24.0,1.0
