team1,seed1,team2,seed2,team1_win_prob
Michigan State,3,Utah State,9,0.4381914612406213
Michigan State,3,High Point,12,0.28384328354995736
Michigan State,3,Hawaii,13,0.8965516162950036
Michigan State,3,Texas,11,0.585658202003965
Michigan State,3,Kennesaw State,14,0.2419035876866478
Michigan State,3,Missouri,10,0.7682895522479173
Michigan State,3,Queens,15,0.9662768168458846
Michigan State,3,Prairie View A&M,16,0.5199813224278501
Michigan State,3,Iowa,9,0.7090713874481966
Michigan State,3,McNeese,12,0.40979539895788997
Michigan State,3,Troy,13,0.6698059489822552
Michigan State,3,VCU,11,0.825743486030877
Michigan State,3,Penn,14,0.8115353021242745
Michigan State,3,Texas A&M,10,0.784772815160649
Michigan State,3,Idaho,15,0.5765689379231351
Michigan State,3,Howard,16,0.9387267912178001
Michigan State,3,Saint Louis,9,0.5804869868229395
Michigan State,3,Akron,12,0.6246945445408245
Michigan State,3,Hofstra,13,0.6643434925238954
Michigan State,3,Miami (OH),11,0.41823793106979446
Michigan State,3,Wright State,14,0.7436108946356301
Michigan State,3,Santa Clara,10,0.6469196875690872
Michigan State,3,Tennessee State,15,0.8611408715667239
UCLA,7,Duke,1,0.22998560847437777
UCLA,7,Ohio State,8,0.5550089950129529
UCLA,7,St. John's,5,0.4117340522883157
UCLA,7,Kansas,4,0.3541303459708095
UCLA,7,Louisville,6,0.5560365151130707
UCLA,7,Michigan State,3,0.4445770193347517
UCLA,7,UConn,2,0.3637245511458688
UCLA,7,Arizona,1,0.23118058059705537
UCLA,7,Villanova,8,0.6213864440592253
UCLA,7,Wisconsin,5,0.4176709424229757
UCLA,7,Arkansas,4,0.3640156962356915
UCLA,7,BYU,6,0.44223138423105257
UCLA,7,Gonzaga,3,0.6169603470650263
UCLA,7,Miami (FL),7,0.6749773580461637
UCLA,7,Purdue,2,0.22183939850435544
UCLA,7,Florida,1,0.35226209895131455
UCLA,7,Clemson,8,0.5806375953207339
UCLA,7,Vanderbilt,5,0.40700942971128845
UCLA,7,Nebraska,4,0.5466873773202187
UCLA,7,North Carolina,6,0.5697396504442738
UCLA,7,Illinois,3,0.5308045359187717
UCLA,7,Saint Mary's,7,0.5424626580086596
UCLA,7,Houston,2,0.31796570641069527
UCLA,7,Michigan,1,0.18002444154975528
UCLA,7,Georgia,8,0.7138925181713626
UCLA,7,Texas Tech,5,0.44687019330704736
UCLA,7,Alabama,4,0.4102657696928913
UCLA,7,Tennessee,6,0.5178535828417232
UCLA,7,Virginia,3,0.4235454998171929
UCLA,7,Kentucky,7,0.47414876932147737
UCLA,7,Iowa State,2,0.3731822746590208
UCLA,7,Siena,16,0.9807607614648025
UCLA,7,TCU,9,0.6522133639300903
UCLA,7,Northern Iowa,12,0.6041449628509986
UCLA,7,California Baptist,13,0.9372495487382323
UCLA,7,South Florida,11,0.6316911002395441
UCLA,7,North Dakota State,14,0.664039900047748
UCLA,7,UCF,10,0.6313617231829909
UCLA,7,Furman,15,0.7285403316837882
UCLA,7,LIU,16,0.9760143866121261
UCLA,7,Utah State,9,0.38435312651576115
UCLA,7,High Point,12,0.2408393333609418
UCLA,7,Hawaii,13,0.8740085870947027
UCLA,7,Texas,11,0.5308204942490158
UCLA,7,Kennesaw State,14,0.20344864953535416
UCLA,7,Missouri,10,0.726328025380699
UCLA,7,Queens,15,0.9582199417576344
UCLA,7,Prairie View A&M,16,0.46440064738914644
UCLA,7,Iowa,9,0.66111604489347
UCLA,7,McNeese,12,0.3572275295364481
UCLA,7,Troy,13,0.6188573048852357
UCLA,7,VCU,11,0.7913610565740331
UCLA,7,Penn,14,0.7751129595213596
UCLA,7,Texas A&M,10,0.7448048109147476
UCLA,7,Idaho,15,0.5215111020865236
UCLA,7,Howard,16,0.9246014784714539
UCLA,7,Saint Louis,9,0.5255193560628938
UCLA,7,Akron,12,0.5712409320526719
UCLA,7,Hofstra,13,0.613038929819373
UCLA,7,Miami (OH),11,0.36525729535676865
UCLA,7,Wright State,14,0.6989315227015049
UCLA,7,Santa Clara,10,0.5945771712488024
UCLA,7,Tennessee State,15,0.8323244562244542
UConn,2,Duke,1,0.34317935969586394
UConn,2,Ohio State,8,0.6857156663911795
UConn,2,St. John's,5,0.5504361839957809
UConn,2,Kansas,4,0.4895770243133463
UConn,2,Louisville,6,0.6866117938252313
UConn,2,Michigan State,3,0.5833712096660656
UConn,2,UCLA,7,0.6362754488541317
UConn,2,Arizona,1,0.3446991883708061
UConn,2,Villanova,8,0.7416710129199285
UConn,2,Wisconsin,5,0.5564811357068566
UConn,2,Arkansas,4,0.5003144540898359
UConn,2,BYU,6,0.5810593746497393
UConn,2,Gonzaga,3,0.7380583176104034
UConn,2,Miami (FL),7,0.7841504069576667
UConn,2,Purdue,2,0.3327563946647701
UConn,2,Florida,1,0.4875336013576255
UConn,2,Clemson,8,0.7077799322260919
UConn,2,Vanderbilt,5,0.5455961149372504
UConn,2,Nebraska,4,0.6784220956743121
UConn,2,North Carolina,6,0.6984702127462948
UConn,2,Illinois,3,0.6643207747637146
UConn,2,Saint Mary's,7,0.6746945446309011
UConn,2,Houston,2,0.4492004579128945
UConn,2,Michigan,1,0.27748983378334735
UConn,2,Georgia,8,0.8136038875929323
UConn,2,Texas Tech,5,0.5856254540378438
UConn,2,Alabama,4,0.5489348310674386
UConn,2,Tennessee,6,0.6526435020714163
UConn,2,Virginia,3,0.5624224338987428
UConn,2,Kentucky,7,0.6120025073609547
UConn,2,Iowa State,2,0.5101600749642258
UConn,2,Siena,16,0.9889105689216809
UConn,2,TCU,9,0.7663862703111274
UConn,2,Northern Iowa,12,0.7275050401591219
UConn,2,California Baptist,13,0.9631381073210891
UConn,2,South Florida,11,0.7500189266479685
UConn,2,North Dakota State,14,0.7756657467531939
UConn,2,UCF,10,0.7497534486813089
UConn,2,Furman,15,0.8244024542714652
